"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Apr 25 07:08:16 GMT 2024","Thu Apr 25 07:08:18 GMT 2024","1800","Surefire suite","Surefire test","xyz.selenide.Tests","xyz.selenide.Tests","runScenario","Runs Cucumber Scenarios",""
"broken","Thu Apr 25 07:08:19 GMT 2024","Thu Apr 25 07:08:19 GMT 2024","319","Surefire suite","Surefire test","xyz.selenide.Tests","xyz.selenide.Tests","runScenario","Runs Cucumber Scenarios",""
"broken","Thu Apr 25 07:08:20 GMT 2024","Thu Apr 25 07:08:20 GMT 2024","314","Surefire suite","Surefire test","xyz.selenide.Tests","xyz.selenide.Tests","runScenario","Runs Cucumber Scenarios",""
"broken","Thu Apr 25 07:08:19 GMT 2024","Thu Apr 25 07:08:20 GMT 2024","312","Surefire suite","Surefire test","xyz.selenide.Tests","xyz.selenide.Tests","runScenario","Runs Cucumber Scenarios",""
"broken","Thu Apr 25 07:08:18 GMT 2024","Thu Apr 25 07:08:19 GMT 2024","321","Surefire suite","Surefire test","xyz.selenide.Tests","xyz.selenide.Tests","runScenario","Runs Cucumber Scenarios",""
