"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Feb 28 14:46:23 GMT 2024","Wed Feb 28 14:46:25 GMT 2024","1766","Surefire suite","Surefire test","xyz.selenide.Tests","xyz.selenide.Tests","runScenario","Runs Cucumber Scenarios",""
"broken","Wed Feb 28 14:46:26 GMT 2024","Wed Feb 28 14:46:26 GMT 2024","317","Surefire suite","Surefire test","xyz.selenide.Tests","xyz.selenide.Tests","runScenario","Runs Cucumber Scenarios",""
"broken","Wed Feb 28 14:46:25 GMT 2024","Wed Feb 28 14:46:26 GMT 2024","322","Surefire suite","Surefire test","xyz.selenide.Tests","xyz.selenide.Tests","runScenario","Runs Cucumber Scenarios",""
"broken","Wed Feb 28 14:46:26 GMT 2024","Wed Feb 28 14:46:26 GMT 2024","314","Surefire suite","Surefire test","xyz.selenide.Tests","xyz.selenide.Tests","runScenario","Runs Cucumber Scenarios",""
"broken","Wed Feb 28 14:46:26 GMT 2024","Wed Feb 28 14:46:27 GMT 2024","313","Surefire suite","Surefire test","xyz.selenide.Tests","xyz.selenide.Tests","runScenario","Runs Cucumber Scenarios",""
